word,phonetic,definition_zh,definition_en,example,tags,audio_file
curiosity,",kjʊrɪ'ɑsəti",n  好奇， 好奇心； 稀奇或罕见的事物或人， 古玩,the desire to know about something,I opened the packet just to satisfy my curiosity .,sholvoir;ielts;exam;core,
pulverise,'pʌlvəraɪz,vt  碾磨成粉， 粉碎,,Device used to crush or pulverise plastic or solid coating to powder form.,sholvoir;ielts;exam;core,
format,'fɔrmæt,vt 使格式化; n  安排， 计划； 版式； 格式,to organize the space on a computer  disk  so that information can be stored on it; the way in which something such as a television show or meeting is organized or arranged,better ways to format your spreadsheets,sholvoir;ielts;exam;core,
sacrifice,'sækrɪfaɪs,v  牺牲， 献祭; n 牺牲，牺牲品；献祭，供奉；祭品，供物,"to willingly stop having something you want or doing something you like in order to get something more important; when you decide not to have something valuable, in order to get something that is more important",The priest sacrificed a chicken.,sholvoir;ielts;exam;core,
particular,pɚ'tɪkjəlɚ,adj 特殊的，特别的；特定的，个别的；详细的; n  详情， 细目， 细节,"a particular thing or person is the one that you are talking about, and not any other; the facts and details about a job, property, legal case etc","In this particular case, no one else was involved.",sholvoir;ielts;exam;core,
illegal,ɪ'ligl,adj  不合法的， 违法的,not allowed by the law,illegal drugs,sholvoir;ielts;exam;core,
corps,kɔrz,n  部队； 军团,a group in an army with special duties and responsibilities,the medical corps,sholvoir;ielts;exam;core,
savour,ˈseɪvər,vt 品尝，品味；欣赏；体会，体味; n  味道， 风味； 情趣， 吸引力,to fully enjoy the taste or smell of something; a pleasant taste or smell,"She sipped her wine, savouring every drop.",sholvoir;ielts;exam;core,
congratulate,kən'ɡrætʃulet,vt  祝贺,to tell someone that you are happy because they have achieved something or because something nice has happened to them,He never even stopped to congratulate me.,sholvoir;ielts;exam;core,
formal,'fɔrml,adj  正式的； 正规的,made or done officially or publicly,formal recognition of the reformed church,sholvoir;ielts;exam;core,
grassy,'ɡræsi,adj  草绿色的； 似草的,covered with grass,a grassy bank,sholvoir;ielts;exam;core,
cohesion,ko'hiʒən,n  结合， 团结； 凝聚力,"if there is cohesion among a group of people, a set of ideas etc, all the parts or members of it are connected or related in a reasonable way to form a whole",a sense of community and social cohesion,sholvoir;ielts;exam;core,
entertain,",ɛntɚ'ten",v  欢乐， 娱乐； 招待,"If a performer, performance, or activity entertains you, it amuses you, interests you, or gives you pleasure","They were entertained by top singers, dancers and celebrities.",sholvoir;ielts;exam;core,
revegetate,riː'vedʒəteɪt,v  再生长， 再植,"(of plants) to grow again and produce new tissue, esp to produce new growth on bare ground ",,sholvoir;ielts;exam;core,
critical,'krɪtɪkl,adj  批评的， 评论的； 危急的， 紧要的； 临界的； 挑剔的,"if you are critical, you criticize someone or something",He made some highly critical remarks.,sholvoir;ielts;exam;core,
sporadically,spə'rædɪkli,adv  偶发地； 零星地,,She gently dots it on to the face sporadically to mimic the pattern of real freckles.,sholvoir;ielts;exam;core,
principal,'prɪnsəpl,adj 主要的; n  校长； 资本； 主角,most important; someone who is in charge of a school,His principal reason for making the journey was to visit his family.,sholvoir;ielts;exam;core,
perpetrate,'pɝpətret,vt  做， 犯,to do something that is morally wrong or illegal,Who could have perpetrated such a dreadful crime?,sholvoir;ielts;exam;core,
tend,tɛnd,v  倾向于， 趋于； 照料； 招待,to look after someone or something,Sofia was in the bedroom tending to her son.,sholvoir;ielts;exam;core,
specimen,'spɛsəmən,n  范例， 样品； 样本， 标本,"a small amount or piece that is taken from something, so that it can be tested or examined",a blood specimen,sholvoir;ielts;exam;core,
exotic,ɪɡ'zɑtɪk,adj  外来的； 奇异的； 醒目的， 吸引人的,"Something that is exotic is unusual and interesting, usually because it comes from or is related to a distant country","...brilliantly coloured, exotic flowers.",sholvoir;ielts;exam;core,
relief,rɪ'lif,n  减轻， 解除； 援救， 救济； 安慰； 缓合剂,when something reduces someone’s pain or unhappy feelings,Marijuana can provide pain relief for some cancer patients.,sholvoir;ielts;exam;core,
introduction,",ɪntrə'dʌkʃən",n  介绍； 传入， 引进； 导言， 绪论,the act of formally telling two people each other’s names when they first meet,"Pete, are you going to make the introductions?",sholvoir;ielts;exam;core,
herbal,'ɝbl,adj 草本植物的；药草的; n  草本植物志； 药草书,Herbal means made from or using herbs,...herbal remedies for colds.,sholvoir;ielts;exam;core,
distill,dɪs'tɪl,vt  蒸馏， 提取,to make a liquid such as water or alcohol more pure by heating it so that it becomes a gas and then letting it cool. Drinks such as  whisky  are made this way.,distilled water,sholvoir;ielts;exam;core,
subscribe,səb'skraɪb,v  订阅， 订购； 申请， 预订,"to pay money, usually once a year, to have copies of a newspaper or magazine sent to you, or to have some other service",My main reason for subscribing to New Scientist is to keep abreast of advances in science.,sholvoir;ielts;exam;core,
therapy,'θɛrəpi,n  治疗， 疗法,the treatment of an illness or injury over a fairly long period of time,new drug therapies,sholvoir;ielts;exam;core,
concentration,'kɑnsn'treʃən,n  集中； 专心， 专注； 浓缩， 浓度,the ability to think about something carefully or for a long time,She needed all her powers of concentration to stop herself from slipping on the icy road.,sholvoir;ielts;exam;core,
velocity,vəˈlɑsəti,n  速度， 速率； 迅速， 快速,the speed of something that is moving in a particular direction,the velocity of light,sholvoir;ielts;exam;core,
commiserate,kə'mɪzəret,vi  同情， 怜悯,to express your sympathy for someone who is unhappy about something,"When I lost, he commiserated with me.",sholvoir;ielts;exam;core,
interfere,",ɪntɚ'fɪr",vi  干涉， 干扰， 妨碍,to deliberately get involved in a situation where you are not wanted or needed,"My daughter-in-law said that I was interfering, but I was only trying to help.",sholvoir;ielts;exam;core,
encapsulate,ɪn'kæpsjə'let,vt  装入胶囊； 压缩； 总结， 概述,to express or show something in a short way,The words of the song neatly encapsulate the mood of the country at that time.,sholvoir;ielts;exam;core,
fitting,'fɪtɪŋ,adj  适合的; n 试穿；装置,"right for a particular situation or occasion; an occasion when you put on a piece of clothing that is being made for you, to see if it fits properly",I thought the memorial was a fitting tribute to the President.,sholvoir;ielts;exam;core,
tolerate,'tɑləret,vt  容忍， 宽容； 容许， 承认,"to allow people to do, say, or believe something without criticizing or punishing them",We simply will not tolerate vigilante groups on our streets.,sholvoir;ielts;exam;core,
stack,stæk,v  把…叠成堆， 堆放于； 堆积， 堆起; n 整齐的一叠,to put neat piles of things on something,He went back to stacking the shelves.,sholvoir;ielts;exam;core,
underline,'ʌndəlaɪn,vt  画线于…之下； 强调,to draw a line under a word to show that it is important,This tragic incident underlines the need for immediate action.,sholvoir;ielts;exam;core,
resent,rɪ'zɛnt,v  愤恨； 对…表示愤恨， 感到气愤,"to feel angry or upset about a situation or about something that someone has done, especially because you think that it is not fair",Paul resented the fact that Carol didn’t trust him.,sholvoir;ielts;exam;core,
mime,maɪm,v 模拟，模仿; n  哑剧表演； 哑剧演员,"to pretend to play or sing a piece of music, without making any sound; the use of movements to express what you want to say without using words, or a play where the actors use only movements","The children learn through role-play, dance and mime.",sholvoir;ielts;exam;core,
underling,'ʌndɚlɪŋ,n  职位低的人， 下属,,...underlings who do the dirty work.,sholvoir;ielts;exam;core,
parliament,'pɑrləmənt,n  议会， 国会,the group of people who are elected to make a country’s laws and discuss important national affairs,They demanded a free parliament and press.,sholvoir;ielts;exam;core,
ambiguous,æm'bɪɡjuəs,adj  含糊其辞的； 不明确的， 模棱两可的,"something that is ambiguous is unclear, confusing, or not certain, especially because it can be understood in more than one way",The language in the Minister’s statement is highly ambiguous.,sholvoir;ielts;exam;core,
crack,kræk,v  破裂； 发出爆裂声； 重击； 崩溃， 瓦解; n 裂缝，缝隙；爆裂声,"to break or to make something break, either so that it gets lines on its surface, or so that it breaks into pieces; a very narrow space between two things or two parts of something",Don’t put boiling water in the glass or it will crack.,sholvoir;ielts;exam;core,
bind,baɪnd,v  捆绑， 系； 约束； 凝结,"if you are bound by an agreement, promise etc, you must do what you have agreed to do or promised to do",The monks are bound by vows of silence.,sholvoir;ielts;exam;core,
cube,kjʊb,n  立方形； 立方,a solid object with six equal square sides,a sugar cube,sholvoir;ielts;exam;core,
crisp,krɪsp,adj 脆的；利落的,"something that is crisp is hard, and makes a pleasant sound when you break it or crush it",She kicked at the crisp leaves at her feet.,sholvoir;ielts;exam;core,
clot,klɑt,v  凝结成块; n 凝块,"if a liquid such as blood or milk clots, or if something clots it, it becomes thicker and more solid; a thick almost solid mass formed when blood or milk dries",The patient's blood refused to clot.,sholvoir;ielts;exam;core,
mild,maɪld,adj  温柔的； 温和的； 轻微的,fairly warm,We had an exceptionally mild winter last year.,sholvoir;ielts;exam;core,
impact,ɪm'pækt,n  影响， 作用； 冲击,"the effect or influence that an event, situation etc has on someone or something",The force of the impact knocked the breath out of her.,sholvoir;ielts;exam;core,
profile,'profaɪl,n 面部的侧影，侧面轮廓；传略，人物简介; vt  扼要介绍； 写传略,a side view of someone’s head; to write or give a short description of someone or something,Dani has a lovely profile.,sholvoir;ielts;exam;core,
paralysis,pə'ræləsɪs,n  瘫痪， 麻痹， 中风,the loss of the ability to move all or part of your body or feel things in it,paralysis of the lower body,sholvoir;ielts;exam;core,
